,Username,Comment,Likes,Replies,Date,link
0,              TechnoVision            ,"This is an AMAZING explanation! Thank u for this, it's helping me so much in my AI class!",7,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=C_iqWGOhvak&amp;lc=UgxNP5ornt2JKeeIX-p4AaABAg"" spellcheck=""false"">5 months ago</a>",https://www.youtube.com/watch?v=C_iqWGOhvak
1,              Rohan Kumar            ,Thanks a lot. I have exams in 5 days and this explanation was very understandable and clear.,8,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=C_iqWGOhvak&amp;lc=Ugydn9rAH0cJQBpbudR4AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=C_iqWGOhvak
2,              Sudhindra Shenoy            ,a->b should be ~a V b  and not   ~(a V b),183,4,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=C_iqWGOhvak&amp;lc=UgxzbfelHlhJubu612x4AaABAg"" spellcheck=""false"">3 years ago</a>",https://www.youtube.com/watch?v=C_iqWGOhvak
3,              Jindagi ka safar            ,"Thanks ma'am, great explanation. Only one point I don't understand, from where did we got the statement '(f) alive(Anil)' , after dropping the Universal quantifiers?",6,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=C_iqWGOhvak&amp;lc=UgyXZ9ip4k7YshDsXbd4AaABAg"" spellcheck=""false"">3 years ago</a>",https://www.youtube.com/watch?v=C_iqWGOhvak
4,              Eko Prasetyo            ,"Everyone is commenting about this content copied from javatpoint, but for me this video is more helpful than only reading in the javatpoint article.",45,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=C_iqWGOhvak&amp;lc=UgwSdDT7wNaYdqy11X14AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=C_iqWGOhvak
5,              Pradeep Raju            ,"How to eliminate existential quantifiers if they are present and whats the difference between elimination and drop?
Please reply.",2,2,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=C_iqWGOhvak&amp;lc=UgzfuO7nYZjBAFtCvhh4AaABAg"" spellcheck=""false"">9 months ago</a>",https://www.youtube.com/watch?v=C_iqWGOhvak
6,              Artilicious by Sejal            ,amazing explanation!,0,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=C_iqWGOhvak&amp;lc=UgyL-Kf3Qf7SCNdc0aV4AaABAg"" spellcheck=""false"">11 months ago</a>",https://www.youtube.com/watch?v=C_iqWGOhvak
7,              Rekha vana            ,Hi mam could u please provided for pos (principles of operations system),0,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=C_iqWGOhvak&amp;lc=Ugx0pkQ-rfLptgXi5b54AaABAg"" spellcheck=""false"">10 days ago</a>",https://www.youtube.com/watch?v=C_iqWGOhvak
8,              This is Bhumeshwar✔            ,"Can anyone give me asnwer of these statements:

1. Steve only likes easy courses.

2. Science courses are hard.

3. All the courses in the basketweaving department are easy.

4. BK301 is a basketweaving course.",2,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=C_iqWGOhvak&amp;lc=UgyqTgPOhMih1kpKNmV4AaABAg"" spellcheck=""false"">10 months ago</a>",https://www.youtube.com/watch?v=C_iqWGOhvak
9,              Kim Namjoon            ,how do we know when to add extra predicates mam?,0,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=C_iqWGOhvak&amp;lc=Ugxr1jd0SxgrVh5NZ214AaABAg"" spellcheck=""false"">2 months ago</a>",https://www.youtube.com/watch?v=C_iqWGOhvak
