,Username,Comment,Likes,Replies,Date,link
0,              @ramsyrama            ,"Great, very insightful for more Kenyan Techprenuers",0,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=1wCy9ofcynU&amp;lc=UgzlCRXYm5e96skyyF54AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=1wCy9ofcynU
1,              @opgamerz9154            ,My brother ealder brother harmam,0,1,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=1wCy9ofcynU&amp;lc=UgwQtgdpJGrGFM8HbA54AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=1wCy9ofcynU
2,ERROR,ERROR,ERROR,ERROR,ERROR,https://www.youtube.com/shorts/SZOhzgvzYk4
3,              Matko Milić            ,Good video as always!,1,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=CjurW8ztOb4&amp;lc=Ugxor_JSydJu2Cwa_Dl4AaABAg"" spellcheck=""false"">1 month ago</a>",https://www.youtube.com/watch?v=CjurW8ztOb4
4,              @smshah77            ,Oh professor Michio Kaku. What a futuristic thinking about AI,0,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=WkiKfK3RnNk&amp;lc=UgxMTXbCugQKDiijpf54AaABAg"" spellcheck=""false"">10 months ago</a>",https://www.youtube.com/watch?v=WkiKfK3RnNk
5,              @justwatchlearn            ,"Everything he said in this video is happening, and there are more to come.. K my Chatgpt can do everything",1,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=WkiKfK3RnNk&amp;lc=UgxyoBcsccZS0vB8O_94AaABAg"" spellcheck=""false"">1 month ago</a>",https://www.youtube.com/watch?v=WkiKfK3RnNk
6,              @silviapabon1282            ,well.... the kid spoke... :),1,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=WkiKfK3RnNk&amp;lc=Ugy_IE9WkkuUcu6WuXp4AaABAg"" spellcheck=""false"">9 months ago</a>",https://www.youtube.com/watch?v=WkiKfK3RnNk
7,              @shan3805            ,,2,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=WkiKfK3RnNk&amp;lc=UgzivnP9p93KyXPmh214AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=WkiKfK3RnNk
8,ERROR,ERROR,ERROR,ERROR,ERROR,https://www.youtube.com/shorts/7cAjVdnUmi8
9,              Mr Aavez shaikh😘            ,"Artificial Intelligence is a branch of computer science which deal with the  study of how the human brain thinks , learns , decides and work , when it tries to solve problems . In simple terms , Artificial intelligence refers to the ability of machines or developing computer programs to carry out certain tasks that require human being to use their intelligence .",0,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=wiscimXGqxg&amp;lc=Ugyv7OlrEZl-bIS3fbF4AaABAg"" spellcheck=""false"">3 months ago</a>",https://www.youtube.com/watch?v=wiscimXGqxg
