,Username,Comment,Likes,Replies,Date,link
0,              Zaiba Khan            ,bestest teaching skills u have️️️,2,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=65ijCyZZJKI&amp;lc=UgzLUYfYVpp8YOXcqst4AaABAg"" spellcheck=""false"">11 months ago</a>",https://www.youtube.com/watch?v=65ijCyZZJKI
1,              World Entertainment            ,"Aoa, if we'll get a question like: the role of artificial intelligence in global and national security in essay paper, then how to attempt it?",0,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=65ijCyZZJKI&amp;lc=UgwXI-TM73VR-Ukis8p4AaABAg"" spellcheck=""false"">11 months ago</a>",https://www.youtube.com/watch?v=65ijCyZZJKI
2,              Medicine with Dr Amanullah            ,Good work,2,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=65ijCyZZJKI&amp;lc=UgzRCqMa4S2Twe2knAJ4AaABAg"" spellcheck=""false"">11 months ago</a>",https://www.youtube.com/watch?v=65ijCyZZJKI
3,              Safeer Ahmed            ,Mam MashaAllah Ap ka jo b lecture hota h woh hamein smjh a jata hh but mam essay k baary m r current Affair k baary m b lecture upload krein ppllzz ...,2,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=65ijCyZZJKI&amp;lc=UgyRYXcpCbZOlsgOCc54AaABAg"" spellcheck=""false"">11 months ago</a>",https://www.youtube.com/watch?v=65ijCyZZJKI
4,              Muhammad umar            ,God bless u,2,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=65ijCyZZJKI&amp;lc=UgxYEZXMxP58iJh0pKB4AaABAg"" spellcheck=""false"">11 months ago</a>",https://www.youtube.com/watch?v=65ijCyZZJKI
5,              Hasnain Soomro            ,Mama css karne per kon se subject hote Hain,0,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=65ijCyZZJKI&amp;lc=UgzcT1f7qhTKo5ZUjxB4AaABAg"" spellcheck=""false"">11 months ago</a>",https://www.youtube.com/watch?v=65ijCyZZJKI
6,              Sami Kasi            ,Hi miss,0,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=65ijCyZZJKI&amp;lc=UgxZlhKNAQ4N5wyusLR4AaABAg"" spellcheck=""false"">11 months ago</a>",https://www.youtube.com/watch?v=65ijCyZZJKI
7,,"Thank you again to world of tanks - Play World of Tanks here: https://tanks.ly/3vsnqDz
Thank you World of Tanks for sponsoring this video.
During registration use the code TANKMANIA to get for free:
7 Days Premium Account
250k credits
Premium Tank Excelsior (Tier 5)
3 rental tanks for 10 battles each: Tiger 131 (Tier 6), Cromwell B (Tier 6), and T34-85M (Tier 6)",118,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=EBLVAMuaAwA&amp;lc=UgzYNr2qFoyrtSVruOJ4AaABAg"" spellcheck=""false"">1 month ago</a>",https://www.youtube.com/watch?v=EBLVAMuaAwA
8,              Elminebloxx            ,bro you have no idea how good it feels to make a lego war,48,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=EBLVAMuaAwA&amp;lc=UgyFHSg7K_O3LYd31O94AaABAg"" spellcheck=""false"">1 month ago</a>",https://www.youtube.com/watch?v=EBLVAMuaAwA
9,              ⫷𝘙4𝘠NE⫸            ,I laughed so hard during this I couldn't stop coughing for a whole 20 mins me and my sister thought I was dying ,1,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=EBLVAMuaAwA&amp;lc=UgxVvYxKM5nTtaKFItB4AaABAg"" spellcheck=""false"">3 weeks ago</a>",https://www.youtube.com/watch?v=EBLVAMuaAwA
