Username,Comment sentiment,Comment subjectivity,Date,Likes,Replies,Link
              @uhevnal7783            ,0.6369,1.0,03-07-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @thegodofsilence5580            ,0.0,1.0,03-02-2023,4,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @danielnorman8595            ,0.765,0.6,23-02-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @carolweepers4003            ,0.0,0.0,23-02-2023,2,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @robynhefferan9561            ,0.0,0.21666666666666667,23-02-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @loidapyle8238            ,0.7783,0.2,23-02-2023,3,1,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @SirPhillip            ,0.8938,0.6,23-02-2023,2,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @patricklannon7011            ,0.6696,0.6,03-02-2023,2,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @michaelcrowhorse-chavez6582            ,0.7783,0.6666666666666666,03-02-2023,3,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @justinschans1979            ,0.4926,0.6000000000000001,03-02-2023,3,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @420Yako            ,-0.2023,0.325,03-05-2023,3,6,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @stewiefy            ,0.128,0.0,03-12-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @thecreature9465            ,0.1841,0.2,03-11-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @evsmpmt-hx4ct            ,0.5994,0.0,03-03-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @edwardwoods5977            ,0.0,0.6019480519480519,None,3,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @KEW-pd1jn            ,0.7634,0.6,23-02-2023,4,2,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @advisorsandy2068            ,0.8092,0.8333333333333334,03-07-2023,2,2,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @walmartynotc            ,0.0,0.30000000000000004,03-12-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @andremelton6173            ,0.2732,0.0,03-09-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @OffTheRailGaming            ,0.3612,0.0,03-09-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @burner7247            ,0.7506,0.0,03-11-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @unitytechfuture7409            ,0.4215,0.0,03-08-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @ScottBrown-kn6md            ,0.5803,0.26666666666666666,23-02-2023,2,1,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @jaleesa00            ,0.0,0.3,03-07-2023,2,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @titanjde            ,0.0,0.4,23-02-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @PhyllisHall-ks8vn            ,0.6902,0.8,None,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @ronaldgray7830            ,-0.6552,0.6869047619047618,03-02-2023,3,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @damianwhite504            ,0.6597,0.6000000000000001,23-02-2023,2,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @MichaelsPaintingChannel            ,0.0,0.0,03-08-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @julianjones9767            ,0.695,0.5714285714285714,03-10-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @apersononurphone920            ,0.5994,1.0,03-05-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @ballorbeats787            ,0.296,0.0,13-03-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @dumitrubaruta9936            ,0.3182,0.5,03-05-2023,0,3,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @solarpanel9085            ,0.4767,1.0,03-06-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @cristiancaprar5506            ,0.9349,0.6428571428571429,03-09-2023,4,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @QuadHealer            ,0.9837,0.37878787878787873,03-12-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @reginaldsinclair152            ,-0.9752,0.3535714285714286,03-02-2023,7,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @lucianmaximus4741            ,0.5562,0.5,03-07-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @GLOGEL            ,0.1511,0.0,16-03-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @WalkToPoland            ,0.0,0.275,03-06-2023,2,1,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @Hambone3773            ,0.6486,0.4125,03-11-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @zazo.7            ,0.0,0.0,03-11-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @christianmoreno7390            ,0.8604,0.0,03-07-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @yhjo521            ,-0.2732,0.8273809523809523,03-09-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @iconofsin1043            ,0.5719,0.7035714285714286,None,1,1,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @Hambone3773            ,0.9852,0.515625,None,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @heleneot            ,0.0,0.0,23-02-2023,5,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @GSpotter63            ,-0.6115,0.6875,03-10-2023,1,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @adamrios3141            ,0.3182,0.0,16-03-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @FirstnameLastname-qt1qn            ,-0.3214,0.45,None,2,2,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @xXBLACKOPS28Xx            ,0.4215,0.7,03-04-2023,4,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
              @etienjoseph1            ,-0.6808,0.14444444444444446,03-08-2023,0,0,https://www.youtube.com/watch?v=oz2n-rQCWzI
