,Username,Comment,Likes,Replies,link
31,              A SRINIDHI            ,"Definitely option D.
As AI can't develop emotions over time...",1,0,https://www.youtube.com/watch?v=ad79nYk2keg
32,              Abul            ,I think it is D-AI that develops emotions in very time.,2,0,https://www.youtube.com/watch?v=ad79nYk2keg
33,              Shradha Pattar            ,Really helped me a lot thanks a lot,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
34,              Aditya and tanish            ,"A. Sophia has citizenship
B. There are robots with muscular skeletal systems
C. AI can recognise emotions by looking at face patterns.. And other stuff
D. Not yet invented",2,0,https://www.youtube.com/watch?v=ad79nYk2keg
35,              LTS Group            ,wow. very helpful video. Thanks :),1,0,https://www.youtube.com/watch?v=ad79nYk2keg
36,              Aadya Gautam            ,The answer is definitely D. An AI still cannot develop emotions according to time...,9,0,https://www.youtube.com/watch?v=ad79nYk2keg
37,              Nour Dey            ,thank you so much ... I liked the video ...your way of explaining is superb,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
38,              Broley            ,An AI that develops emotions overtime.,5,0,https://www.youtube.com/watch?v=ad79nYk2keg
39,              EVM fx            ,Option D. AI that develops emotions over time,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
40,              Sabine Paul            ,"Hey, can I use this video officially in my class room to introduce my A-level students to AI? I am a teacher at a vocational college in Germany.",7,0,https://www.youtube.com/watch?v=ad79nYk2keg
41,              Tuhin Chakraborty            ,"""Option D:- AI that develops emotions over time.."" is the answer..
(Nice video)...",2,0,https://www.youtube.com/watch?v=ad79nYk2keg
42,              Kinman Simon            ,"The answer is D
Your channel is one of the best about Computer Science among Youtube!",5,0,https://www.youtube.com/watch?v=ad79nYk2keg
43,              Shreyan the Legend            ,"Quiz Answer:
A - Sophia is the first robot to ever be given a citizenship.
B- Kojiro the AI Robot has a skeletal and muscular system.
C - Robots can sometimes read how the person is feeling by understanding his expressions.
D - AI develops cannot develop emotions on its own as the basic emotions need to be coded in.

Ans - D",1,0,https://www.youtube.com/watch?v=ad79nYk2keg
44,              NiceThings            ,All your videos are very good..you are doing a great job..,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
45,              Chetan Rajkamal            ,"D is the correct answer. I want to know more about Deep learning, could you please make a detailed video?",2,0,https://www.youtube.com/watch?v=ad79nYk2keg
46,              Sameer Anwar            ,"I Go With A , It Still Didn't Get Adapted To The Citizenship Of Humanity . Over Time AI May Get An Own Processing Mind , Primary Functioned By Binory Language . They May Get Civillized By The Year 2050 . Great Video , You Yourself Have The Mind Of AI ",1,0,https://www.youtube.com/watch?v=ad79nYk2keg
47,              xbon1            ,C. not even humans can read human emotions. GPT-3 can already 'simulate' emotion to an extent but it can't infer emotion from text if someone is being dishonest.,5,0,https://www.youtube.com/watch?v=ad79nYk2keg
48,              inyourfacetimmy            ,"Answer D is still correct, but will change over time. It's Amazing!",3,0,https://www.youtube.com/watch?v=ad79nYk2keg
49,              Rick Roberts            ,"AI that develops emotion over time is the answer to the quiz question. AI will, however, develop this ability.",1,0,https://www.youtube.com/watch?v=ad79nYk2keg
50,              NeoExplore            ,"Thankyou so much
well explained!!",1,0,https://www.youtube.com/watch?v=ad79nYk2keg
51,              OrionStar            ,"Option C . 
After all machines no matter how far is it upgraded won't have emotions",0,0,https://www.youtube.com/watch?v=ad79nYk2keg
52,              k7laks            ,"The answer for the question is D, as we have not yet come to the stage of making AI that can develop emotions.",1,0,https://www.youtube.com/watch?v=ad79nYk2keg
53,              Bikramjit Mondal            ,"The answer is option ""D""
No such AI has been made that develops emotion over time.",4,0,https://www.youtube.com/watch?v=ad79nYk2keg
54,              Sheetal Aruldoss            ,Which is best artificial intelligence and data science or ai machine learning pls give a reply ️,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
55,              Zombies            ,"The use of artificial intelligence is one of the great advances in technology that has made it more sensitive to Minsa's mind. Wars and artificial social conflicts can be stopped completely. Therefore, those bad aspects must be destroyed by the rulers before they can be exploited. Artificial intelligence should only develop the good side.🇱🇰",1,0,https://www.youtube.com/watch?v=ad79nYk2keg
56,              Sanskar Kashyap            ,"Sir the right option is d 
Yet there is no robot that can develop its own emotions.",2,0,https://www.youtube.com/watch?v=ad79nYk2keg
57,              surya            ,"Option D is the correct answer
That is ai that develops emotions over time",2,0,https://www.youtube.com/watch?v=ad79nYk2keg
58,              Shruti Kadu            ,"My answer for the  quiz will be D ..
And thanks for such a great and informative video",1,0,https://www.youtube.com/watch?v=ad79nYk2keg
59,              Beatriz Maria Mendez            ,"A ROBOT THAT DEVELOPS EMOTIONS DOESN´T EXIST....YET....
Really nice video, I will show it to my students.",13,0,https://www.youtube.com/watch?v=ad79nYk2keg
60,              Sakthi Vishnu S            ,Answer is Option D: AI that develops emotions over time,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
61,              35_Vaibhav Warkar            ,Answer is Option D - AI that develops emotions over time,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
62,              Srinivas suruvar            ,AI that develops emotions over time,2,0,https://www.youtube.com/watch?v=ad79nYk2keg
63,              Shubham Sapkal            ,My answer is definitely-  D- AI that develops emotions over time.,2,0,https://www.youtube.com/watch?v=ad79nYk2keg
64,              Garima Trivedi            ,D and I am very eager and excited to work on AI with emotional intelligence,4,0,https://www.youtube.com/watch?v=ad79nYk2keg
65,              Jose Cabot            ,Another great video. Great channel.,2,0,https://www.youtube.com/watch?v=ad79nYk2keg
66,              Divya Mattey            ,Option D: AI that develops emotions over time.,8,0,https://www.youtube.com/watch?v=ad79nYk2keg
67,              Game Bred            ,Option(D):AI that develops emotions over time,2,0,https://www.youtube.com/watch?v=ad79nYk2keg
68,              FARHAN ABDUL RAHMAN            ,AI Develops emotion over time,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
69,              Ananya Jaiswal            ,D. A.I. developes emotion over time (since we know a machine can only perform the task fed in it theirfore A.I. cannot develope emotions over time),10,0,https://www.youtube.com/watch?v=ad79nYk2keg
70,              Bubanar Djau            ,This is the best teacher I found,1,0,https://www.youtube.com/watch?v=ad79nYk2keg
71,              Dewangi Agrawal            ,AI that develops emotion over time,0,0,https://www.youtube.com/watch?v=ad79nYk2keg
72,              Shashank Dwivedi            ,Ai that develops emotion over time,2,0,https://www.youtube.com/watch?v=ad79nYk2keg
73,              Paul C Lalchungnunga            ,"Very informative , whole lotta thanks for the post tbh",1,0,https://www.youtube.com/watch?v=ad79nYk2keg
