,Username,Comment,Likes,Replies,link
21,              Chin Ho CHEUNG            ,"Hi Mosh, I have recently started to learn about Python (I am just a beginner, no experience before) and I am in the middle of your 6 hours Python course. The course is absolutely amazing! thank you!  In order to follow this Python machine Learning tutorial, upon completing the 6 hours course, will I be good enough? Thanks",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
22,              Y            ,i thought to myself “i’ll watch a video in bed to fall asleep” - ended up watching the whole thing and realised how easy it is to get started with machine learning! thank you for the amazing video,34,0,https://www.youtube.com/watch?v=7eh4d6sabA0
23,              Carlos Tarnowski            ,"What a wonderful way to present ideas. The proper rhythm and match between words, movements and images! Congrats!",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
24,              Konstantinos Matsoukas            ,"That's an excellent tutorial! With all the appropriate details, and the code while the total duration was just perfect",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
25,              TECH ROOT            ,"I really enjoyed your video!  One thing I would like to suggest is perhaps portraying the graph that was shown in the last minute of the video earlier on to portray how these results will end up  being extrapolated.  So far, really enjoying how I can program to take data similar to that on an Excel Spreadsheet and create a graph using Python. Kudos!",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
26,              Martin D            ,"Mosh, I'm doing your Nodejs course and it is absolutely amaizing. It has all the material to really create the full app. Very hard to find all in 1 place, testing, authentication, deployment... I also definitely join this course as well. Cheers mate!",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
27,              Samuel Ndiritu            ,"HELLO MOSH PLEASE CONSIDER MAKING MORE VIDEOS ON MACHINE LEARNING LIKE THIS,YOU'RE MY FAVOURITE AND BEST INSTRUCTOR,YOUR WAY OF INSTRUCTING IS TO ANOTHER LEVEL.THANKS VERY MUCH FOR THIS! HOPING MORE IS COMING FROM YOU ON THIS FIELD",1,0,https://www.youtube.com/watch?v=7eh4d6sabA0
28,              nate            ,"Dude, ive been working with python for 2 years and never really dove into machine learning. This was such a cool tutorial thank you!",18,0,https://www.youtube.com/watch?v=7eh4d6sabA0
29,              Hallo            ,Thanks Mosh for your great course about machine learning with python!  You are a great teacher and programmer!Looking forward to your further topics of M.L. !,2,0,https://www.youtube.com/watch?v=7eh4d6sabA0
30,              Discrete Loner            ,One of the best I have seen. The video has clear sound and it is easy to follow. You cut the unnecessary stuff out so we don’t get distracted or overwhelm by the small tiny detail that might not be important at the moment.,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
31,              Akash Shaw            ,This was a very brief and to the point tutorial... Waiting for the upcoming videos on machine learning ️,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
32,              Michelle S.            ,"Thanks! Was struggling a lot with machine learning on EDX, but now I understand everything! You are a great teacher.",2,0,https://www.youtube.com/watch?v=7eh4d6sabA0
33,              Ashish Solanki            ,"Mosh You're really helping the students which cannot afford the costliest courses online.  Thanx, a lot mosh, you're such an amazing person.",7,0,https://www.youtube.com/watch?v=7eh4d6sabA0
34,              Sajan Mani            ,"One of the simplest demo on ML for begininers, with tools and setup information. thanks a lot!",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
35,              Tharaka Dissanayake            ,"I am a university student. I was not good at programming in my first year, and always receive the less grade for programming. Then I followed your several courses. Now I am good at programming as well as other CS subjects. Thank you so much. Following your courses will make  subject knowledge, how to learn programming, and how to think as a programmer. 
Highly recommend your all courses....",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
36,              Krina Patel            ,Your tutorials are really clear and informative. Thankyou Mosh!,1,0,https://www.youtube.com/watch?v=7eh4d6sabA0
37,              Shanky Studio            ,You have made it so simple and clear for the beginners to understand such a complex concept ,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
38,              Slimane Rechdi            ,"Really love your tuts Mosh, want to tell you thank you. I have learn so much stuff with your videos this year!",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
39,              Lorenzo Novia            ,The way you explain is amazing! Do you have a course completely on machine learning? Thanks,7,0,https://www.youtube.com/watch?v=7eh4d6sabA0
40,              Sumeet Chawla            ,A really cool and hands-on approach to understanding the basics of ML and decision-tree. Bravo !! 1 hr well spent.,2,0,https://www.youtube.com/watch?v=7eh4d6sabA0
41,              Malik Ebad Ullah            ,"For all the windows users, the music_data file in the description of this video will not work when you will import it in jupyter notebook. So simply, open this zip file in your file explorer and delete an extra folder from the file named as ' __MACOSX '. Next re-run your program, and it will work :)",2,0,https://www.youtube.com/watch?v=7eh4d6sabA0
42,              Muhammad Ghufran            ,"very good, clear and up to the mark tutorial.
Made ML understandable for beginners. Thanks",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
43,              Ebrahimovič            ,"As usual, you're a life saver! thank you so much Mosh!!!!",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
44,              Alvin Paul            ,"Really enjoyed it. Thanks for your effort. Learnt Python from you and now, this too. Looking forward to much more tutorials <3",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
45,              Doutor Azágua            ,"Modern teaching requires modeling, hands-on training and right to the point - step-by-step like you would do at a real the job. I believe Mosh is a natural born teacher who puts students first. He’s a true master of his craft.  I want to enroll in you data science class. You are simply the best.",7,1,https://www.youtube.com/watch?v=7eh4d6sabA0
46,              I'm Leo            ,You're amazing :D The way you explain it and all the tip that you provided in your video are so useful !! :D Btw is there any other source to download the music-csv as the link isn't working anymore :(,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
47,              Le Win            ,"Thank you so much! Love the visualization of the decision tree. 

Please have more tutorials on machine learning in Python!",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
48,              Dragon Does It            ,Thank god for your video man! The way our teacher presented the lab work had me hating jupyter and python and anything related :)) You made things infinitely more clear :),0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
49,              Keshav Kishor Ram            ,You  are a great instructor. I love your videos.,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
50,              naveed ahmed            ,"This is an amazing tutorial. 

I have a question, at 32:14 where you add in some example data for it to predict. What if we want to test a bigger data set, can we import the data and get the prediction?",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
51,              Inée Ader            ,"MOOOOOSH! I found you earlier this week and bought your Python course. You teach so simply and clearly, thank you! Will you be coming out with a Machine Learning full course on your site soon? I need it yesterday!",3,1,https://www.youtube.com/watch?v=7eh4d6sabA0
52,              Cardano            ,"I have tried a few ml courses and most of them are too hard for people who aren't python pros.I love your style,i wish you would have more about scikit and ml in general...",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
53,              Saulo Alves            ,"You're one of the best teachers ever! 
Please make more Machine Learning videos. 
Thank you for this!",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
54,              M SHAHZeB            ,"Hi mosh. You are probably the best teacher in the world ever. I am a huge fan of you. Your little explanation or course is equal to complete semester of our university :D

I request you to please create a full fledge course on machine learning. Please Please Please Please !!!!",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
55,              Paul Mampilly            ,"I am not going to lie, but that was one of the best video tutorials I have seen on ML. I kept on thinking that ML would be beyond me, but I ,amaged to grasp the fundamentals and understood further. Thank you so much for this. You have a subscriber.",1,0,https://www.youtube.com/watch?v=7eh4d6sabA0
56,              Seungjun Lee            ,"Hey, anyone out there reading this comment.

I just wanna say GOOOD JOB!, to anyone who completed this course video! 


Let's build  professional knowledge in Machine Learning Starting from here",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
57,              Muhammad Af'faq            ,"Very well Explained. Thanks for uploading this video, although i have a question, if i have string values in my csv files e.g names, publisher, genre, etc then how to work with DecisionTreeClassifier() ? I guess that only works on numerical data.",3,0,https://www.youtube.com/watch?v=7eh4d6sabA0
58,              Chikwanda Jacob            ,I haven't come across a tutorial that helps a complete beginner understand Machine Learning like this video. Its super simplified. Thanks a million.,1,0,https://www.youtube.com/watch?v=7eh4d6sabA0
59,              MIDHUN R            ,I watched your python tutorial and able to build a simple program because of you......like the way of teaching style ... keeping it simple so that everyone with little knowledge in field can understand ....Sir if possible make a  tutorial on tensorflow,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
60,              Amin Boulouma 🤖            ,This is amazing! I am so happy to find this channel. Very simple and easy explanation. More videos about machine learning and deep learning course:)!,1,0,https://www.youtube.com/watch?v=7eh4d6sabA0
61,              Meenakshi Naik            ,Your tutorial is very easy to understand and your teaching method is also very good.Please make a series of videos on other Data Science topics.Thanks.,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
62,              Marvin Alamu            ,You're very good at teaching wow ! Do you've a video on the various python libraries and their functions ?,1,0,https://www.youtube.com/watch?v=7eh4d6sabA0
63,              kalyani rajalingham            ,"I must comment: you're organized, structured and a very very good teacher! Kudos!",3,0,https://www.youtube.com/watch?v=7eh4d6sabA0
64,              Caleb Koech            ,Thank you Mosh for this easy-to-learn ML tutorial. Am a great fan of your work. Keep up the good work sir.,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
65,              FG            ,"Thanks for the tutorial. It is great, brief and complete",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
66,              Truth            ,Thank you. Your teaching style in programming is unmatched.,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
67,              Aiziko            ,"Hi Op, my question is regarding the challenge of dealing with datasets in my project . The feature set contains about 40 columns from merging10 csv files to train my model. But the test dataset contains just 2 columns including the target column. So each time I try to make classification on the target column I get a failure notice telling me that my training and test shape are not the same. 


How can I make my model to make prediction based on the test dataset given to me? Or how can I adapt my test dataset to conform to the training dataset in shape in order to run my program?",1,0,https://www.youtube.com/watch?v=7eh4d6sabA0
68,              Anurag Murali            ,"Sir your Teaching is perfect.
Suitable for both beginners and experts.
Please add more tutorials on ML through Python",1,0,https://www.youtube.com/watch?v=7eh4d6sabA0
69,              Anvesh Dange            ,This is the best tutorial I've ever seen. The best use of time .️,22,0,https://www.youtube.com/watch?v=7eh4d6sabA0
70,              Perfait akaka            ,MOSH HAMEDANI YOU GENIUS. PLEASE MAKE MORE DATA SCIENCE CONTENT. I'M VENTURING INTO THE FIELD AND MOST TUTORIALS THAT I WATCH ARE ALWAYS DIFFICULT TO UNDERSTAND. WITH YOU IT'S LIKE I UNDERSTAND EVERY WORD YOU SAY.,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
71,              Abel Ojoo            ,I am old but I love your simple but practical presentation of python in shortest time,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
72,              Eduardo Ferreira            ,"Ótimo tutorial, obrigado pela generosidade.",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
73,              Fun Time with Harshita            ,Mosh sir is amazing. Easy to understand what he saying and his explanations are great. Wish you a good life sir from Singapore. As i was a new developer i searched for bunch of tutorials courses etc. but i didn’t got any good source to learn. Finally i found Mosh sir. Now I’m a programmer work in a company. If some one asks me about a source to learn programming my first word is Programming with Mosh. Thank you very much sir.,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
74,              Rachel Who?            ,"Ahhh this is such a great tutorial on such a useful topic! Thanks for sharing :)
I'm a high school student and this is super new to me but soooo cool",1,0,https://www.youtube.com/watch?v=7eh4d6sabA0
75,              Syam Julio            ,"Mosh, do you mind sharing your learning methods? I'm impressed on how you can learn so many different language/framework but still master them. Thank you.",4,2,https://www.youtube.com/watch?v=7eh4d6sabA0
76,              Fernando Cordoba            ,"Excellent explanations, clear and detailed.  100% recommendable. Thank you so much!",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
77,              Mila Robins            ,"Thank you for this really useful tutorial. I just have a general question about generating decision tree graphics in general. Is there a way to do this in jupyter as well, where it's part of the output when you run? vscode never works for me (definitely a user error, but still) and it's a bit of a pain to open the visualisation there. Thanks!",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
78,              Success White            ,"Thank you  Mosh , i have been following your tutorials and I love the way to break down python  programming to my understanding .",1,0,https://www.youtube.com/watch?v=7eh4d6sabA0
79,              VokeCompHints            ,"Mosh, i don't know how to say thanks to you. I have really benefitted from your tutorials so much. They include sql, react and some others. I'm from Nairobi, Kenya",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
80,              Ashish Gupta            ,Excellent video. Wish there were more of such videos.,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
81,              yasin taşdemir            ,thank you so much Mosh! I've been going through so many tutorials but this one fitted in my mind finally!,3,0,https://www.youtube.com/watch?v=7eh4d6sabA0
82,              Josh Alvarez            ,So great!!! Do you have one like this about automation for python coming? Especially for excel automation! That would be great! I have tried other people's videos but yours seem to always be the easiest to learn from!,1,0,https://www.youtube.com/watch?v=7eh4d6sabA0
83,              Jessica Liu            ,"Mosh's programming courses are the best cources I have ever took. Thank you so much! 
It helped me a lot!",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
84,              Moustafa Hassan            ,A great tutorial I wish you make a full course on deep learning which include linear regression and neural network,1,0,https://www.youtube.com/watch?v=7eh4d6sabA0
85,              puush2007            ,Thanks so much for creating this tutorial. It really pulled together some concepts for me from a data science bootcamp im currently taking.,1,0,https://www.youtube.com/watch?v=7eh4d6sabA0
86,              Adjay            ,"Mosh, amazing tutorial as always, always wanted to write a simple ML code, Thanks for your work! :)",1,0,https://www.youtube.com/watch?v=7eh4d6sabA0
87,              Saddiq Ur Rehman (사디크)            ,loved the tutorial. I wish you cover more ML algorithms specially NLP.,34,0,https://www.youtube.com/watch?v=7eh4d6sabA0
88,              roehrkard            ,"thank you soo much for this tutorial, it was absolutely amazing, did not think I could make my first ML project in one night and have so much fun doing it!",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
89,              Jarrett Goh            ,Wow thanks so much mosh! A python machine learning tutorial was what i was looking for! I was just gonna start machine learning with either Pytorch or Tensorflow.,1,0,https://www.youtube.com/watch?v=7eh4d6sabA0
90,              RT_2022            ,"This course is mind-blowing! So organized, easy-to-understand! Thank you so much!",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
91,              gemandze jefeson            ,"Hi Mosh, I used 100% to train the model and I got 100% accuracy or 0% accuracy. Is there any downside for using all the data to train the model ?",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
92,              rachna Sharma            ,"Hi Mosh,  I really like your video. Can you please make a video on Unsupervised learning using K-means?",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
93,              JapaneseImmersion            ,"At 46:45, if you don't have the option ""Open Preview to the side"", solve that by uninstalling the Graphviz (dot) extension made by Stephanvs and then installing the Graphviz (dot) extension made by João Pinto instead. Then restart Visual Studio Code and the ""Open Preview to the side"" option will appear. Enjoy!",3,1,https://www.youtube.com/watch?v=7eh4d6sabA0
94,              Martin O Shaughnessy            ,"From about 43:30, You can also plot the decision tree in Jupyter without creating a dot file. Just replace the tree.export_graphviz method with tree.plot_tree and leave out the ""out_file"" kwarg.",2,0,https://www.youtube.com/watch?v=7eh4d6sabA0
95,              1 Minute AI            ,"This a god send, the best python tutorials out there! very clear, simple, to the point!",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
96,              Ben Hargreaves            ,"Hi Mosh, I'm not sure how the model connected up X with y as neither had the full data fram of music_data with all columns. (This was from the video section beginning at 29:30). Does just passing X and y to the predict method allow the method to see the the whole dataframe?",1,0,https://www.youtube.com/watch?v=7eh4d6sabA0
97,              Anita Wright            ,"Excellent from start to finish - nice quick overview of Jupyter features and shortcuts; terrific ML overview, intro :-) some adjustments needed as noted for the joblib, but not difficult to find/figure out.  Thank you!",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
98,              Rendi Pratama            ,"Thank you very much sir, I've never seen a full tutorial like this
specifically for machine learning, data preparation until visualization",3,0,https://www.youtube.com/watch?v=7eh4d6sabA0
99,              Garvit Pahwa            ,You are the best teacher please make a full course on machine learning and deep learning.,359,23,https://www.youtube.com/watch?v=7eh4d6sabA0
100,              Tahoora Mirbeigi            ,Your was the best course I've taken in programming. It even solves my other problems that I had with python that even google couldn't answer me. Thanks.,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
101,              Manish Pant            ,"Hi Mosh.. it was a great tutorial.. are you planning on a course on AI/ML, because I couldn't find one on your website..",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
102,              Rashid Nizamuddin            ,"This is great can you please also give some insight on how to derive inference with string features 
i have columns as strings (state, country) etc and i was trying to use hot encoding to covert string in vector representation.
That would be so great",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
103,              Tito Miguel Costa            ,"great tutorial, keep up the great work. Is the code available somewhere?",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
104,              dijon streak            ,HUGE help buddy...thank YOU very much for getting me properly started in a fascinating journey...will continue with your channel.  MANY thanks !!,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
105,              Rudra Golakoti            ,"Thanks for doing this!!!!
You mastered the art of content creation. I was asking you to do this for a quite long time. Looking forward to an end to end ML & DL COURSES.",9,0,https://www.youtube.com/watch?v=7eh4d6sabA0
106,              Shuveshek Rai            ,"Thank you so much for this... I was really confused when i jumped into tensor flows without watching ML basics. this kinda cleared alot of doubts. 
This is a very good place to start",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
107,              Raghu Yadav            ,"@Mosh, Thank you so much for this session, I was member in the past to learn various training materials from your website, however would like subscribe again if you upload more training materials on Machine Learning.",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
108,              David Adeyemi            ,"This is the best explanation for machine learning i have seen online, simple and well detailed",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
109,              j b            ,Great video. Took a machine learning course during undergrad but forgot most of it. After watching this video things came back. Thank you.,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
110,              Mahmud Mammadli            ,"Mr. Mosh Hamedane, many thanks for this video and good explanations! l wish you to share full course for learning different algorithms of machine learning if it is possible.",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
111,              enorma29            ,"Hey Mosh I already bought four courses from your website, loved them all. I'd buy a full Machine Learning course on day one. Cheers!",4,0,https://www.youtube.com/watch?v=7eh4d6sabA0
112,              Megan Godfredsen            ,I was struggling so much with understanding  the coding behind machine learning and yours is the first video i found to explain it AND show it with amazing clarity. I cannot thank you enough for helping me figure this out🫶🫶🫶🫶🫶🫶,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
113,              Lucas Assunção de Abreu            ,"You can't imagine how much you helped me with this video, 
thank you very much!",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
114,              TechBowl            ,Again a wonderful tutorial Thanks Mosh for sharing. You're a real Master,1,0,https://www.youtube.com/watch?v=7eh4d6sabA0
115,              Memento Mori            ,"I've been following you from the basic stuff of pyhton. And You are the best mentor I've ever met in internet, just love your work!",2,0,https://www.youtube.com/watch?v=7eh4d6sabA0
116,              Souha Mahmoudi            ,"Such a really good introduction ! 
Much Appreciated",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
117,              Murtaza Mohammadi            ,I am really interested in machine learning and this tutorial is the best tutorial I watched on this platform. Thanks for sharing Mosh. God bless you,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
118,              po po duck            ,"I wanna learn how to train a python module like to do some work. Can you make a video about that as well sir and I would really appreciate if you use VScode because after the tutorial which you gave in your paid series I have really starting enjoying to code in it.
And thanks for this one as well .
All the best and be safe sir ",6,0,https://www.youtube.com/watch?v=7eh4d6sabA0
119,              A. Maklad            ,"Many thanks for this tutorial.
I enjoyed going through it. 
structured 
concise and into the point.",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
120,              Oliver Mechling            ,"Hi Mosh, I really appreciate your work. Thanks!",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
121,              Nerdy Geek            ,"What I find fascinating is how schools struggle to teach kids because the teachers hate their job and don't want to be there along with the students, but you go to YouTube and you find enthusiastic, detailed, videos along with people who legitamently want to help people learn. 

Then turn around and teach others how to do what they were taut and all that for the low low price of a like, comment and subscribe. I learn and use very very little of what I learned in school, but I know and learned so much more from YouTube. I know alot about Python, HTML, and Unity, SQL Database, Hacking, Pentation testing, building, home repair, car repair, and robotics ALL OF IT from YouTube not school.

Thank You!",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
122,              Simba’s Channel for Kids            ,"WOW!!! I have never experienced such lucid and simple discourse of a complex subject ever before, thanks for making me smarter and RESPECT",2,0,https://www.youtube.com/watch?v=7eh4d6sabA0
123,              Lydia Sudiwala            ,my first day on Python and this was awesome!  Thank you.,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
124,              Kunal Soni            ,"Seriously this tutorial is going amazing ️
Thank you so much mosh.",6,2,https://www.youtube.com/watch?v=7eh4d6sabA0
125,              mohammed dawar            ,"A very good starting point, thanks so much for sharing Mosh!!!",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
126,              Slimane Mesbah            ,"this is the best video on machine learning, for everyone who is just getting started on ml, starting with this video will open to you all the doors of IA, and HOPEFULLY PROFESSOR MOSH WILL APPLOAD MORE VIDEOS ON MACHINE LEARNING",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
127,              Shubham Sahai            ,Thank you for a great video. You have a great style of teaching by example and your voice is friendly and encouraging too. I enjoyed this video a lot. lots of good learning. Thanks a lot!,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
128,              RickoDeSea            ,I really appreciate this tutorial.  It makes Machine Learning understandable to it's core.,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
129,              Salma Dodin            ,Hello there! amazing video may i ask what software(s) have you used to produce this video in this fashion?,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
130,              Rajan Lamichhane            ,"Finally, i found the video which I was searching before.  
And could you explain me the difference between using python IDE and jupyter notebook?",8,1,https://www.youtube.com/watch?v=7eh4d6sabA0
131,              Prabhas Raj            ,"Hi, your videos are very good and easily understandable. 
I have a question. requesting you to answer.
Can't we visualize the model in jupyter itself? do we need to install vs also??

Thanks in advance!!",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
132,              Himanshu Chauhan            ,Mosh was my first coding tutor back in 2019. Thanks Mosh ,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
133,              Mariam Goher            ,"Thank you, you really helped me a lot. I hope in the future you'll teach how to use machine learning for images",1,0,https://www.youtube.com/watch?v=7eh4d6sabA0
134,              Amit S. Dhaulaniya            ,"can you please make a complete tutorial for using specific regression/classification methods like PLS, PCR, PCA, SIMCA etc?",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
135,              Suomy Nona            ,Thank you for making this video and for free! Some of us want to learn but don’t have the resources! You are helping my future!,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
136,              Vasil Pavlov            ,"At 41:06, where Mosh types 'from sklearn.externals import joblib', I (and many other people) get the error that the module could not be found. The fix is to import joblib directly like: 'import joblib as jb' and use it as 'jb.dump(.........)' later on.",6,0,https://www.youtube.com/watch?v=7eh4d6sabA0
137,              Mohamed Hegab            ,"Hi Mosh, may I have your recommendation? I finished your python course and now it is time to move on to next course. I need to focus on machine learning. So do you have any recommendations where to get this course? I need a course that teaches and prepare me to start a project and build up my portfolio so that I can apply for a job. Thanks Mosh",1,0,https://www.youtube.com/watch?v=7eh4d6sabA0
138,              Srinjana Sriram            ,"I love you Mosh, you are saving my life with these amazing free lessons",0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
139,              BMSKARATE            ,Wicked video! Broken down to a simple format and explained in detail. I didn't know about CTRL + / to auto comment lol that's going to save me so much time!,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
140,              John Edmerson Pizarra            ,I learned a lot from this I thought machine Learning is very scary and full of complex math. Thanks for enlightenment ️,0,0,https://www.youtube.com/watch?v=7eh4d6sabA0
