,Username,Comment,Likes,Replies,link
0,ERROR,ERROR,ERROR,ERROR,https://www.youtube.com/shorts/tBqdYod5Efw
1,ERROR,ERROR,ERROR,ERROR,https://www.youtube.com/watch?v=CmEEEQsRhbA
2,ERROR,ERROR,ERROR,ERROR,https://www.youtube.com/shorts/tEZZ2gxeM18
3,ERROR,ERROR,ERROR,ERROR,https://www.youtube.com/shorts/Q4JSxhoXFPU
4,              user            ,I'm so happy that you started giving courses on machine learning. I appreciate your clear teaching style.,590,7,https://www.youtube.com/watch?v=7eh4d6sabA0
5,              Full Stack Spiderman            ,"for info: 
1) At 32:52, to avoid UserWarning: X does not have valid feature names, we need to train the model with the values of input_dataset. i.e, use X.values instead of X in model.fit(X.values, y). 
2) 42:04, joblib is now a seperate py package. we now need to import it as import joblib rather than from skilearn.externals. 
Anyway thanks Mosh for another great tutorial..",558,54,https://www.youtube.com/watch?v=7eh4d6sabA0
6,              Gino Segnini            ,"For anyone who was unable to import joblib, you're probably using a more recent version, where joblib comes separated from sklearn. Instead of this line:
from sklearn.externals import joblib
try:
from joblib import dump, load
Then instead of:
joblib.dump(model, 'music_recommender.joblib')
Use:
dump(model, 'music_recommender.joblib')",12,2,https://www.youtube.com/watch?v=7eh4d6sabA0
7,              veotic            ,You are the reason why I started programming. I'll never forget the things you've done to help me.,66,1,https://www.youtube.com/watch?v=7eh4d6sabA0
8,              MOHAMMED ALGHAILI            ,"Words are not enough to appreciate what you present in your channel, I do believe you are number one in programming.",259,0,https://www.youtube.com/watch?v=7eh4d6sabA0
9,              Taindra Neupane            ,"Hey Mosh, your contents and teaching style  are straightforward and easy to follow. It would be great help if you do some tutorials based on medical imaging (CT,MRI) data! I am having difficulties in dealing with those. Thank you!",10,1,https://www.youtube.com/watch?v=7eh4d6sabA0
10,              Anand Ramanan            ,"Awesome video! Not only the video provided fast track intro into the world of machine learning, but also creates interest in us to learn it even if we weren't interested before. Great stuff Mosh!",5,0,https://www.youtube.com/watch?v=7eh4d6sabA0
11,              Manjushree J            ,"Finally, I found something practical rather than theoretical.
Thank you sir",50,0,https://www.youtube.com/watch?v=7eh4d6sabA0
12,              KA Sineva            ,"Mister Mosh, thank you for all of the easy to follow tutorials that you make for us, please keep keep up the good work, i hope you post more courses (preferably in python)  :)",6,0,https://www.youtube.com/watch?v=7eh4d6sabA0
13,              Archie Fayzullaev            ,Thank you so much! Very clear and neat explanation! I hope you will continue diving deeper into detailed concepts rather than concentrating only on basics. Your way of explanation plus the details would be the great video for all I think!,1,0,https://www.youtube.com/watch?v=7eh4d6sabA0
14,              Ammar Altaf            ,Thank you man ️ after completing your 6 hours python course. I loved the way you teach  This is what I'm waiting for  Thank you Mosh ,55,3,https://www.youtube.com/watch?v=7eh4d6sabA0
15,              Mohammed El sharkawy            ,"You 're really good teacher 
I hope you create a playlist speciallised in AI like tensor flow , pytorch and keras",4,0,https://www.youtube.com/watch?v=7eh4d6sabA0
16,              Graham Hart            ,"This was excellent material! Nice to see how well planned and put together this whole thing was. Very professional content!  And it actually got me to open my laptop to download jupyter to try this out...and start learning python along the way lol! I come from programming background so not too worried about that, I just mention this as a testament to this video and as feedback to the appeal it had for this particular viewer. ",3,1,https://www.youtube.com/watch?v=7eh4d6sabA0
17,              Jees Antony            ,"I recently took some advanced ML courses partially but was unsure of how to handle real-world data even if I finish the course, but this basic course gave me a great foundation and the confidence to understand how machine learning works. Thank you so much for your help.",1,0,https://www.youtube.com/watch?v=7eh4d6sabA0
18,              Outlaw From 1899            ,I finally got a video explaining only the topic of machine learning with python! Thank you very much Mosh! Really love this channel :),56,0,https://www.youtube.com/watch?v=7eh4d6sabA0
19,              E            ,"I'm so glad I stumbled upon this. You are amazing! This was very pleasant and easy to follow. I learned a ton and I especially like that you took us through your thought process while examining the music data set, too. Thank you very much! Subscribed.",24,0,https://www.youtube.com/watch?v=7eh4d6sabA0
20,              Deyna B.            ,Amazing tutorial! You explained everything so clearly and helped me to grasp some of the topics even better!,2,0,https://www.youtube.com/watch?v=7eh4d6sabA0
