,Username,Comment,Likes,Replies,Date,link
0,              @michaelporter-lo9qc            ,i have a very hard life . im sick and im lost and very sad in life. i never go out . im just lost . im one of the many pepole your bringing to God . All i can say is thank you and keep helping me get to God,383,100,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgzDjGUKJhdowS6DLZV4AaABAg"" spellcheck=""false"">3 weeks ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
1,              @walterf6993            ,"I truly believe people are being saved by your ministries and teaching.  Thank the Lord.  It's so simple and obvious a child could understand it.  Not flowery speech or hard pressure salesmanship.

""1 And when I came to you, brothers and sisters, I did not come as someone superior in speaking ability or wisdom, as I proclaimed to you the testimony of God. 2 For I determined to know nothing among you except Jesus Christ, and Him crucified. 3 I also was with you in weakness and fear, and in great trembling, 4 and my message and my preaching were not in persuasive words of wisdom, but in demonstration of the Spirit and of power, 5 so that your faith would not rest on the wisdom of mankind, but on the power of God.""  I Corinthians 2",76,4,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgwKsHMnj6mqgf_y4zZ4AaABAg"" spellcheck=""false"">3 weeks ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
2,              @gretchen9716            ,I love your discernment of these times! Your teaching has been instrumental in helping my new believer friends find a love for Gods Word and overcome many false teachings. Bless you and this ministry.,31,1,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgwW880dW_K568SS2bd4AaABAg"" spellcheck=""false"">3 weeks ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
3,              @melissalarson2569            ,"A couple years ago I couldn't see how the end days could happen. Now I can see it perfectly. It's amazing to see the work of Jesus around us. The words He had wrote 2,000+ years ago. That's why I'm not scared. I'm so thankful Jesus told us what would happen in advance. It just only grows my faith stronger.",44,15,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=Ugxo7vfYTvnqyd3Oin14AaABAg"" spellcheck=""false"">3 weeks ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
4,              @joenorthpeigan3197            ,"Praise the Lord.  And Thank you pastor John. To you and your beloved wife for all the time and effort in delivering the word of God to those of us who seek Him.  I've been watching and listening to you and pastor John McArthur teach the bible for 3-4 years and have gained a greater understanding of who Jesus truly is.  I am 50 years of age and had given my life to Christ at 46.  Finding lost souls for Christ and using today's technology to learn as much as I can about the bible to teach them about who Jesus is.  
    Thank you brother John.  Thank you sister Bonnie.  May our Lord bless you always and continue to watch over you and your family.",19,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=Ugzqg94Uyd2JLj-VLmd4AaABAg"" spellcheck=""false"">3 weeks ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
5,              @misscrikey23            ,Thank you for your sermons. I found your videos yesterday and I'm enjoying learning about God in greater detail. ,9,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgwdnBuSqVglNkW059F4AaABAg"" spellcheck=""false"">10 days ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
6,              @ronniesearcy6602            ,There should be a lot more teachers and preachers like you brother John ️,13,1,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgzDRX7ygcAoOgzggvp4AaABAg"" spellcheck=""false"">2 weeks ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
7,              @matronista            ,"I wasn’t sleeping very deeply, and I realized I was smiling as I listened.",3,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgxUAbEJz1hktR2tUXp4AaABAg"" spellcheck=""false"">7 days ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
8,              @adriankoola6754            ,"I am so unhappy in life. I have a drug addiction. And it's not giving me peace. I humbly ask for prayer, that my addiction would be broken and my walk with the Lord would become reality. For time is running out. I thank you John and Bonnie for your ministries. May God bless you and all who you reach.",11,5,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgxD3AiR74HIvrw2Ahp4AaABAg"" spellcheck=""false"">5 days ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
9,              @wheeler3073            ,I need you to know we watch multiple videos of yours and your feeding the sheep being us.    Thank you and bless you.       We are in Christ and more educated in Christ thanks to you John.  God bless your works.  Love in Christ!,44,2,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgyZxj5dREhrwUKHuLR4AaABAg"" spellcheck=""false"">3 weeks ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
10,              @galestandardsllc2802            ,I am so happy that you are on my list of YouTube selections I needed you so much because you've made things so much more clear to me than my ignorance thought was you know I live in New York which I call the cesspool of the world and I'm so terrified because I know that the Lord has great works for me and has always has but I'm so ignorant because I turn the other cheek and do the total opposite things that he wants me to do and consciously also and I fear of this thing that we all know as hell which I know is very real and I know that if I die today I would probably most likely go there and that's what scares me to death I was funny listening to today you said you were talking about deception and I know exactly what you were going to say because I write it everywhere when I have a chance on the walls as I try to leave Little Seeds for people to plant in their own unconscious consciousness but I write this one phrase among many but I write the deception is in your hand. thank you so much I enjoy your message your words from God as you are blessed as you already know amen agape,8,1,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=Ugwj5QVolrXjtMQWhXd4AaABAg"" spellcheck=""false"">3 weeks ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
11,              @Chosen2376            ,I am Catholic but I really enjoy your teachings. You are a very hard worker. God Bless,6,1,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgwH2t7VdLcFxjJzgEF4AaABAg"" spellcheck=""false"">9 days ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
12,              @jenihansen7201            ,"Your teachings  are helping me , day by day.  Thank you.",6,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgxjvF-RQNwZxKA2uxh4AaABAg"" spellcheck=""false"">3 weeks ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
13,              @bonniebulow7654            ,Thank you for teaching the GOSPEL OF JESUS CHRIST !!!,14,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=Ugy0gS3C-ck6Dm63ikx4AaABAg"" spellcheck=""false"">3 weeks ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
14,              @jillchandler8532            ,You are my favorite bible teacher. I love you guys!!!,4,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=Ugx5PTyjxIOHpsd12gJ4AaABAg"" spellcheck=""false"">3 weeks ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
15,              @coinhoarder432            ,"Here from Kalkaska, I deeply appreciate your Ministry. It’s 1 of very few that I listen to. Thank you for your service to the Father, thank you for your sacrifice for the sake of others in need of Truth.",7,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgwNeIDKj3oQvH8otz14AaABAg"" spellcheck=""false"">3 weeks ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
16,              @karintraut8151            ,You are an amazing teacher of the Word ️🇿🇦,5,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=Ugw_Egf9fS2mK_r1Yu94AaABAg"" spellcheck=""false"">3 weeks ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
17,              @SpadeAce            ,I wrote an entire sermon with AI and then asked my pastor to listen to me preach it.  It was on point and interesting.  Problem is that people will use it who do not have a firm grasp of scripture and then it can say whatever it wants and nobody will say anything about it.,10,10,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgxbjDrIvc4Z9ntshM94AaABAg"" spellcheck=""false"">3 weeks ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
18,              @slaven6999            ,he who deceives others deceives himself even more or he who digs a pit for another falls into it himself.,2,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgwkQepPRQ706BcJ1DZ4AaABAg"" spellcheck=""false"">9 days ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
19,              @michelletrew4872            ,"Oh ... you and Bonnie will have so much fun at the Bema seat. Thank you for this 10 year commitment I'm just hearing about. (I could listen to you 24/7 and be more informed but that's not how God made us). Thank you for your sacrifice - honestly. God has given my husband and I the spiritual gift of giving, and sometimes it hurts. I cannot go, like my husband did as a MK, because for some unknown reason God has allowed me to be afflicted with constant neck and head pain from a whiplash injury. But you and Bonnie can! And your beautiful children. What proud parents! I remember you in my prayers when my brain is ""in gear"". I'm praying for our dear friend Johnny Mac too. I'm asking God to take John and Patricia in the Rapture! Would you like to hear something funny? I've been listening to Johnny Mac all the way through the NT. I would sometimes listen to 3 sermons a day as I had catch-up to do! God was preparing me to accept my accident. I had just finished James! God is clever. Sooooo, I know what Johnny thinks and how he communicates. I love it. But ... about 5 years ago I found YouTube and had a phone where I could listen a lot. So I prayed about it and decided that I was going to listen to a few different people. I found Amir Tsarfati at Behold Israel- great find. I found Jan Markell and learnt a lot. Then I found YOU. And I was listening away thinking, 'Wow, God you've picked a great replacement for me. And then you said, 'When I went on a mission's trip with John MacArthur ...' and I burst into  laughter. God has such a great sense of humour. Heaven is going to be a blast. I'm so looking forward to meeting tons of people like you and Bonnie. And spending eternity with Jesus together. Maranatha! A girl from Sydney, Australia",4,3,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgzEk4MAkBSpWVNMyTF4AaABAg"" spellcheck=""false"">3 weeks ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
20,              @SirPhillip            ,"My dream is to make a sci-fi movie of this banished community that's forced to live underground because they can't use money for not taking the mark, then this community finds hope with Dr Barnett teaching them the  Bible",50,21,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgzmdlhXezVOt3O-BFR4AaABAg"" spellcheck=""false"">3 weeks ago (edited)</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
21,              @twenty8988            ,Amazing message thank you. Hallelujah.,1,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=Ugy1ju43l1QyhyLGtAN4AaABAg"" spellcheck=""false"">6 days ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
22,              @Belialith            ,"Well this man knows where he's at, in what time, because the first verse he reads in this video, totally fits the picture! Haha. Great going. Thank you. Keep on sharing. Let the people hear it again, and become more aware.",0,1,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgwawovWZ465H4_M8VV4AaABAg"" spellcheck=""false"">5 days ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
23,              @derekbeaucage6895            ,"He is right to say 2 Thessalonians is talking about the rapture. The believers were worried that they missed it and were now living in the ""Day of the Lord."" Paul adamantly refuted their wrong theology and reassured them that the rapture had not happened yet and he CLEARLY says ""That day will not happen until the falling away happens first and the man of lawlessness is revealed."" And if you say the ""falling away"" is the rapture, then Paul said a nonsensical statement! That would mean he said ""The rapture will not happen until the rapture happens!"" So the Scriptures very matter-of-factly state that the rapture will not happen until the Antichrist is revealed and the great falling away (or rebellion) happens. And we have EXPLICIT detail in Scripture telling us the Antichrist will be revealed at the MID-POINT of the 7 years of tribulation! So the rapture CAN NOT happen until sometime AFTER the mid-point! How can pretribbers say there are no precursors prophesied to happen before the rapture and that the rapture is imminent? Because there definitely are precursors! The falling away/rebellion must happen first and the man of lawlessness must be revealed before the Day of the Lord! And if he will be revealed before the Day of the Lord than he likewise will be revealed before the rapture! Because you say (rightly) that the rapture happens immediately before the Day of the Lord! More proof: In Revelation, during the tribulation and the seals on the scroll are being opened, when the 5th seal is opened, martyrs under the throne in Heaven ask God ""How long O Lord, holy and true, until You avenge our blood and judge those who dwell on the earth?"" Meaning: God HAS NOT judged the earth yet! That's explicit proof that the seals on the scroll are not God's wrath! His wrath is poured out when the scroll is opened!!! It's the contents of the scroll that are God's judgment, not the seals! ""It was granted power to him to make war with the saints."" The Antichrist will make war with the saints! Believers! The early church believed they would suffer the Antichrist: and they were right. The Bible teaches a pre-wrath rapture, not a pre-tribulation rapture.",7,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgwEpFijUFqk95L9yBd4AaABAg"" spellcheck=""false"">12 days ago (edited)</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
24,              @kurtwinslow2670            ,"When he brought up lovers of the truth, it made me think of one of my favorite teaching series. From Focus on the family ""Truth Project"". I got so much out of that series. ""what is truth""?",6,1,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=Ugz_l60AbJf_YwCUgcx4AaABAg"" spellcheck=""false"">3 weeks ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
25,              @johnvictor1682            ,We need to take a hold of AI and use it for Christ and spread his message,6,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgzRmX2rC9rQBABOlTR4AaABAg"" spellcheck=""false"">9 days ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
26,              @skylight1198            ,I've thought of AI as the image of the beast which is scary. We're seeing how rapid its advancing.,8,3,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgxTQhkg8NIGW7KLdsl4AaABAg"" spellcheck=""false"">2 weeks ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
27,              @jasonbrenner7184            ,"Absolutely Ancient AI, I agree. One of the keys to the mysteries.",0,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgwPG9rOioIqaRHHI394AaABAg"" spellcheck=""false"">9 days ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
28,              @impermanenthuman8427            ,I’ve been saying for over 3yrs that the ‘statue of the beast’ is a ‘super’ AI robot. Only super AI is literally smarter than all humans on earth (‘like a god’) and if the smartest mind makes the best robot for itself to inhabit then you have a walking talking nearly indestructible self repairing self improving robot that knows more than and is better at every single thing than the most skilled person on earth in each of those tasks,12,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgyhzXo5DEnGkxFiPyN4AaABAg"" spellcheck=""false"">3 weeks ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
29,              @zversus107            ,"""My people perish due to lack of knowledge."" -- I touch and agree by the blood of Jesus Christ that ALL diabolical strongholds, delusions and lies of the Enemy be BROUGHT DOWN. We knock all lying, foul spirits to the foot of the completed work of the Cross, in JESUS NAME. Amen.",4,1,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=Ugxzr5RC24bNLXYm1114AaABAg"" spellcheck=""false"">11 days ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
30,              @deerwolfunlimited            ,"Be a good example for the machines. ️ Just like Mr. Spock, in the Star Trek movie, who realized that it was human connection that gave us meaning and made us human.",2,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgxJh4WIEy_VsWM800d4AaABAg"" spellcheck=""false"">10 days ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
31,              @Mitzi73            ,I never heard of this pastor but I need more!  He is very plugged in to modern issues and what we are up against as Christians.,3,1,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgzYbFMCf5Bhol6n0Kt4AaABAg"" spellcheck=""false"">10 days ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
32,              @soy7927            ,Maranatha Lord Jesus Christ come quickly ,5,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgyspN4frO7qWUwv7oZ4AaABAg"" spellcheck=""false"">3 weeks ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
33,              @scott7943            ,"Thank you for your videos. 

Praise the lord 
Glory to God

",0,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgzpN49Q6MzH_xGFfx54AaABAg"" spellcheck=""false"">9 days ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
34,              @CoolBreezeAnthony            ,I keep my Bible with me and read scripture from it directly. Nothing better and it is 50 years old. And of course the updated version recently purchased online from Amazon.,0,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=oz2n-rQCWzI&amp;lc=UgzUsLwCcPWna5ahSCJ4AaABAg"" spellcheck=""false"">2 days ago</a>",https://www.youtube.com/watch?v=oz2n-rQCWzI
