,Username,Comment,Likes,Replies,Date,link
0,ERROR,ERROR,ERROR,ERROR,ERROR,https://www.youtube.com/shorts/tBqdYod5Efw
1,ERROR,ERROR,ERROR,ERROR,ERROR,https://www.youtube.com/watch?v=CmEEEQsRhbA
2,ERROR,ERROR,ERROR,ERROR,ERROR,https://www.youtube.com/shorts/tEZZ2gxeM18
3,ERROR,ERROR,ERROR,ERROR,ERROR,https://www.youtube.com/shorts/Q4JSxhoXFPU
4,              user            ,I'm so happy that you started giving courses on machine learning. I appreciate your clear teaching style.,591,7,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgzQsvDseylaUjpmiat4AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
5,              Anand Ramanan            ,"Awesome video! Not only the video provided fast track intro into the world of machine learning, but also creates interest in us to learn it even if we weren't interested before. Great stuff Mosh!",5,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgwZqGtUpgHJtHoNpoZ4AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
6,              Gino Segnini            ,"For anyone who was unable to import joblib, you're probably using a more recent version, where joblib comes separated from sklearn. Instead of this line:
from sklearn.externals import joblib
try:
from joblib import dump, load
Then instead of:
joblib.dump(model, 'music_recommender.joblib')
Use:
dump(model, 'music_recommender.joblib')",14,3,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgymH1aoGFpEVX-xnSJ4AaABAg"" spellcheck=""false"">1 month ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
7,              KA Sineva            ,"Mister Mosh, thank you for all of the easy to follow tutorials that you make for us, please keep keep up the good work, i hope you post more courses (preferably in python)  :)",6,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgwSX84nWy-C_FX-5O94AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
8,              veotic            ,You are the reason why I started programming. I'll never forget the things you've done to help me.,66,1,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgyMJEZJ_WbgT7Cd8B54AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
9,              Taindra Neupane            ,"Hey Mosh, your contents and teaching style  are straightforward and easy to follow. It would be great help if you do some tutorials based on medical imaging (CT,MRI) data! I am having difficulties in dealing with those. Thank you!",10,1,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgwyyXs4hnupjnvZ8FV4AaABAg"" spellcheck=""false"">1 year ago (edited)</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
10,              Mohammed El sharkawy            ,"You 're really good teacher 
I hope you create a playlist speciallised in AI like tensor flow , pytorch and keras",4,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=Ugww8UPwXu4p5NOTxmd4AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
11,              Archie Fayzullaev            ,Thank you so much! Very clear and neat explanation! I hope you will continue diving deeper into detailed concepts rather than concentrating only on basics. Your way of explanation plus the details would be the great video for all I think!,1,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgzRSQNTKjp7Kb1VW5t4AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
12,              Full Stack Spiderman            ,"for info: 
1) At 32:52, to avoid UserWarning: X does not have valid feature names, we need to train the model with the values of input_dataset. i.e, use X.values instead of X in model.fit(X.values, y). 
2) 42:04, joblib is now a seperate py package. we now need to import it as import joblib rather than from skilearn.externals. 
Anyway thanks Mosh for another great tutorial..",562,54,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgzqMDgcbMK7w564Wa54AaABAg"" spellcheck=""false"">1 year ago (edited)</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
13,              Manjushree J            ,"Finally, I found something practical rather than theoretical.
Thank you sir",50,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgyoTCjGEuEoGAEgW414AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
14,              MOHAMMED ALGHAILI            ,"Words are not enough to appreciate what you present in your channel, I do believe you are number one in programming.",259,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgxtbUCcL7H8Hmk6M4h4AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
15,              Jees Antony            ,"I recently took some advanced ML courses partially but was unsure of how to handle real-world data even if I finish the course, but this basic course gave me a great foundation and the confidence to understand how machine learning works. Thank you so much for your help.",1,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgyfUSSJZb7bBePBoN14AaABAg"" spellcheck=""false"">1 month ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
16,              Graham Hart            ,"This was excellent material! Nice to see how well planned and put together this whole thing was. Very professional content!  And it actually got me to open my laptop to download jupyter to try this out...and start learning python along the way lol! I come from programming background so not too worried about that, I just mention this as a testament to this video and as feedback to the appeal it had for this particular viewer. ",3,1,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgyTMKasIvzECJBjwOF4AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
17,              Ammar Altaf            ,Thank you man ️ after completing your 6 hours python course. I loved the way you teach  This is what I'm waiting for  Thank you Mosh ,55,3,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgxFgq4rfKxeDWDAUEB4AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
18,              Deyna B.            ,Amazing tutorial! You explained everything so clearly and helped me to grasp some of the topics even better!,2,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgyTeJAmBnctd4IybD54AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
19,              TECH ROOT            ,"I really enjoyed your video!  One thing I would like to suggest is perhaps portraying the graph that was shown in the last minute of the video earlier on to portray how these results will end up  being extrapolated.  So far, really enjoying how I can program to take data similar to that on an Excel Spreadsheet and create a graph using Python. Kudos!",0,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgwjX98BNbhS1Vp6kL14AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
20,              Outlaw From 1899            ,I finally got a video explaining only the topic of machine learning with python! Thank you very much Mosh! Really love this channel :),56,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=Ugy486LfJeflBgiB_2d4AaABAg"" spellcheck=""false"">2 years ago (edited)</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
21,              nate            ,"Dude, ive been working with python for 2 years and never really dove into machine learning. This was such a cool tutorial thank you!",18,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgyE3AdBHzbpae-Dfo14AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
22,              Y            ,i thought to myself “i’ll watch a video in bed to fall asleep” - ended up watching the whole thing and realised how easy it is to get started with machine learning! thank you for the amazing video,34,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgxgpiCuhi3NLz8pX4J4AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
23,              Martin D            ,"Mosh, I'm doing your Nodejs course and it is absolutely amaizing. It has all the material to really create the full app. Very hard to find all in 1 place, testing, authentication, deployment... I also definitely join this course as well. Cheers mate!",0,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgwRSOcm6UsAknb9UcB4AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
24,              Akash Shaw            ,This was a very brief and to the point tutorial... Waiting for the upcoming videos on machine learning ️,0,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgylKSA-QCD5Nx7WquF4AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
25,              Chin Ho CHEUNG            ,"Hi Mosh, I have recently started to learn about Python (I am just a beginner, no experience before) and I am in the middle of your 6 hours Python course. The course is absolutely amazing! thank you!  In order to follow this Python machine Learning tutorial, upon completing the 6 hours course, will I be good enough? Thanks",0,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=Ugx8dwI7yAZcsXfggxl4AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
26,              Hallo            ,Thanks Mosh for your great course about machine learning with python!  You are a great teacher and programmer!Looking forward to your further topics of M.L. !,2,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=Ugxubfbt0XafVSu8yrN4AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
27,              Discrete Loner            ,One of the best I have seen. The video has clear sound and it is easy to follow. You cut the unnecessary stuff out so we don’t get distracted or overwhelm by the small tiny detail that might not be important at the moment.,0,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=Ugz2cdj8uNuOwfUDw9R4AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
28,              E            ,"I'm so glad I stumbled upon this. You are amazing! This was very pleasant and easy to follow. I learned a ton and I especially like that you took us through your thought process while examining the music data set, too. Thank you very much! Subscribed.",24,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgwTwMh_PdR7lHUP9Gp4AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
29,              Carlos Tarnowski            ,"What a wonderful way to present ideas. The proper rhythm and match between words, movements and images! Congrats!",0,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=Ugxf5Pe8VBvEM8uVSCN4AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
30,              Samuel Ndiritu            ,"HELLO MOSH PLEASE CONSIDER MAKING MORE VIDEOS ON MACHINE LEARNING LIKE THIS,YOU'RE MY FAVOURITE AND BEST INSTRUCTOR,YOUR WAY OF INSTRUCTING IS TO ANOTHER LEVEL.THANKS VERY MUCH FOR THIS! HOPING MORE IS COMING FROM YOU ON THIS FIELD",1,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=Ugx8WnRbbfK_gEcmTmF4AaABAg"" spellcheck=""false"">11 months ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
31,              Ebrahimovič            ,"As usual, you're a life saver! thank you so much Mosh!!!!",0,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgyUP7IFqzHZah76vz14AaABAg"" spellcheck=""false"">5 months ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
32,              I'm Leo            ,You're amazing :D The way you explain it and all the tip that you provided in your video are so useful !! :D Btw is there any other source to download the music-csv as the link isn't working anymore :(,0,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgwwzMIttS-yeurD4rp4AaABAg"" spellcheck=""false"">11 months ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
33,              Slimane Rechdi            ,"Really love your tuts Mosh, want to tell you thank you. I have learn so much stuff with your videos this year!",0,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=Ugx8w7J0p_f_v8lVHwZ4AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
34,              Lorenzo Novia            ,The way you explain is amazing! Do you have a course completely on machine learning? Thanks,7,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=Ugya_Zh6VdfXBiezw-l4AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
35,              Konstantinos Matsoukas            ,"That's an excellent tutorial! With all the appropriate details, and the code while the total duration was just perfect",0,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=Ugxg8wfHu8AsoXeAQEh4AaABAg"" spellcheck=""false"">9 months ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
36,              Michelle S.            ,"Thanks! Was struggling a lot with machine learning on EDX, but now I understand everything! You are a great teacher.",2,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgywRo_WgQhGBEE-mHt4AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
37,              Alvin Paul            ,"Really enjoyed it. Thanks for your effort. Learnt Python from you and now, this too. Looking forward to much more tutorials <3",0,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgxmmYeKycGqCjsg16B4AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
38,              Krina Patel            ,Your tutorials are really clear and informative. Thankyou Mosh!,1,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgyCXPGREYMDsTJbQMl4AaABAg"" spellcheck=""false"">1 year ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
39,              Muhammad Af'faq            ,"Very well Explained. Thanks for uploading this video, although i have a question, if i have string values in my csv files e.g names, publisher, genre, etc then how to work with DecisionTreeClassifier() ? I guess that only works on numerical data.",3,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgwpzNfRtL5PPE1BsXB4AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
40,              Sumeet Chawla            ,A really cool and hands-on approach to understanding the basics of ML and decision-tree. Bravo !! 1 hr well spent.,2,0,"<a class=""yt-simple-endpoint style-scope yt-formatted-string"" dir=""auto"" href=""/watch?v=7eh4d6sabA0&amp;lc=UgwYgYhbLDR8whWmX7Z4AaABAg"" spellcheck=""false"">2 years ago</a>",https://www.youtube.com/watch?v=7eh4d6sabA0
